resultId,raceId,driverId,positionOrder,points,laps,rank,statusId,time_,fastestLapTime_,fastestLapSpeed_,year,round,circuitId,name,url,date & time
24626,1031,822,1,25.0,71,2,1,0 days 01:30:55.739000,0 days 00:01:07.657000,229.758,2020,1,70,Austrian Grand Prix,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,2020-07-05 13:10:00
24627,1031,844,2,18.0,71,4,1,0 days 01:30:58.439000,0 days 00:01:07.901000,228.933,2020,1,70,Austrian Grand Prix,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,2020-07-05 13:10:00
24628,1031,846,3,16.0,71,1,1,0 days 01:31:01.230000,0 days 00:01:07.475000,230.378,2020,1,70,Austrian Grand Prix,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,2020-07-05 13:10:00
24629,1031,1,4,12.0,71,3,1,0 days 01:31:01.428000,0 days 00:01:07.712000,229.572,2020,1,70,Austrian Grand Prix,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,2020-07-05 13:10:00
24630,1031,832,5,10.0,71,5,1,0 days 01:31:04.642000,0 days 00:01:07.974000,228.687,2020,1,70,Austrian Grand Prix,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,2020-07-05 13:10:00
24631,1031,815,6,8.0,71,6,1,0 days 01:31:10.831000,0 days 00:01:08.305000,227.579,2020,1,70,Austrian Grand Prix,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,2020-07-05 13:10:00
24632,1031,842,7,6.0,71,11,1,0 days 01:31:12.421000,0 days 00:01:09.025000,225.205,2020,1,70,Austrian Grand Prix,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,2020-07-05 13:10:00
24633,1031,839,8,4.0,71,10,1,0 days 01:31:13.195000,0 days 00:01:08.932000,225.509,2020,1,70,Austrian Grand Prix,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,2020-07-05 13:10:00
24634,1031,841,9,2.0,71,9,1,0 days 01:31:16.885000,0 days 00:01:08.796000,225.954,2020,1,70,Austrian Grand Prix,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,2020-07-05 13:10:00
24635,1031,20,10,1.0,71,8,1,0 days 01:31:20.284000,0 days 00:01:08.623000,226.524,2020,1,70,Austrian Grand Prix,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,2020-07-05 13:10:00
24636,1031,849,11,0.0,71,16,1,0 days 01:31:27.389000,0 days 00:01:09.662000,223.146,2020,1,70,Austrian Grand Prix,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,2020-07-05 13:10:00
24637,1031,826,12,0.0,69,13,22,,0 days 00:01:09.135000,224.847,2020,1,70,Austrian Grand Prix,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,2020-07-05 13:10:00
24638,1031,848,13,0.0,67,7,40,,0 days 00:01:08.432000,227.156,2020,1,70,Austrian Grand Prix,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,2020-07-05 13:10:00
24639,1031,8,14,0.0,53,12,36,,0 days 00:01:09.031000,225.185,2020,1,70,Austrian Grand Prix,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,2020-07-05 13:10:00
24640,1031,847,15,0.0,49,14,32,,0 days 00:01:09.317000,224.256,2020,1,70,Austrian Grand Prix,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,2020-07-05 13:10:00
24641,1031,154,16,0.0,49,17,23,,0 days 00:01:10.228000,221.347,2020,1,70,Austrian Grand Prix,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,2020-07-05 13:10:00
24642,1031,825,17,0.0,24,20,23,,0 days 00:01:10.720000,219.807,2020,1,70,Austrian Grand Prix,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,2020-07-05 13:10:00
24643,1031,840,18,0.0,20,18,5,,0 days 00:01:10.326000,221.039,2020,1,70,Austrian Grand Prix,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,2020-07-05 13:10:00
24644,1031,817,19,0.0,17,19,25,,0 days 00:01:10.610000,220.15,2020,1,70,Austrian Grand Prix,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,2020-07-05 13:10:00
24645,1031,830,20,0.0,11,15,40,,0 days 00:01:09.351000,224.146,2020,1,70,Austrian Grand Prix,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix,2020-07-05 13:10:00
24646,1032,1,1,25.0,71,3,1,0 days 01:22:50.683000,0 days 00:01:06.719000,232.989,2020,2,70,Styrian Grand Prix,http://en.wikipedia.org/wiki/2020_Styrian_Grand_Prix,2020-07-12 13:10:00
24647,1032,822,2,18.0,71,7,1,0 days 01:23:04.402000,0 days 00:01:07.534000,230.177,2020,2,70,Styrian Grand Prix,http://en.wikipedia.org/wiki/2020_Styrian_Grand_Prix,2020-07-12 13:10:00
24648,1032,830,3,15.0,71,2,1,0 days 01:23:24.381000,0 days 00:01:06.145000,235.01,2020,2,70,Styrian Grand Prix,http://en.wikipedia.org/wiki/2020_Styrian_Grand_Prix,2020-07-12 13:10:00
24649,1032,848,4,12.0,71,6,1,0 days 01:23:35.083000,0 days 00:01:07.299000,230.981,2020,2,70,Styrian Grand Prix,http://en.wikipedia.org/wiki/2020_Styrian_Grand_Prix,2020-07-12 13:10:00
24650,1032,846,5,10.0,71,5,1,0 days 01:23:52.153000,0 days 00:01:07.193000,231.345,2020,2,70,Styrian Grand Prix,http://en.wikipedia.org/wiki/2020_Styrian_Grand_Prix,2020-07-12 13:10:00
24651,1032,815,6,8.0,71,4,1,0 days 01:23:53.070000,0 days 00:01:07.188000,231.362,2020,2,70,Styrian Grand Prix,http://en.wikipedia.org/wiki/2020_Styrian_Grand_Prix,2020-07-12 13:10:00
24652,1032,840,7,6.0,71,10,1,0 days 01:23:53.136000,0 days 00:01:07.833000,229.162,2020,2,70,Styrian Grand Prix,http://en.wikipedia.org/wiki/2020_Styrian_Grand_Prix,2020-07-12 13:10:00
24653,1032,817,8,4.0,71,9,1,0 days 01:23:53.274000,0 days 00:01:07.832000,229.166,2020,2,70,Styrian Grand Prix,http://en.wikipedia.org/wiki/2020_Styrian_Grand_Prix,2020-07-12 13:10:00
