resultId,raceId,driverId,positionOrder,points,laps,rank,statusId,time_,fastestLapTime_,fastestLapSpeed_
25406,1074,844,1,26.0,57,1,1,0 days 01:37:33.584000,0 days 00:01:34.570000,206.018
25407,1074,832,2,18.0,57,3,1,0 days 01:37:39.182000,0 days 00:01:35.740000,203.501
25408,1074,1,3,15.0,57,5,1,0 days 01:37:43.259000,0 days 00:01:36.228000,202.469
25409,1074,847,4,12.0,57,6,1,0 days 01:37:44.795000,0 days 00:01:36.302000,202.313
25410,1074,825,5,10.0,57,8,1,0 days 01:37:48.338000,0 days 00:01:36.623000,201.641
25411,1074,822,6,8.0,57,7,1,0 days 01:37:49.703000,0 days 00:01:36.599000,201.691
25412,1074,839,7,6.0,57,14,1,0 days 01:37:53.007000,0 days 00:01:37.110000,200.63
25413,1074,852,8,4.0,57,13,1,0 days 01:37:53.970000,0 days 00:01:37.104000,200.642
25414,1074,4,9,2.0,57,10,1,0 days 01:37:55.974000,0 days 00:01:36.733000,201.412
25415,1074,855,10,1.0,57,9,1,0 days 01:37:56.648000,0 days 00:01:36.685000,201.512
25416,1074,854,11,0.0,57,11,1,0 days 01:38:06.158000,0 days 00:01:36.956000,200.948
25417,1074,840,12,0.0,57,15,1,0 days 01:38:19.457000,0 days 00:01:37.146000,200.555
25418,1074,848,13,0.0,57,18,1,0 days 01:38:27.516000,0 days 00:01:37.355000,200.125
25419,1074,817,14,0.0,57,16,1,0 days 01:38:28.559000,0 days 00:01:37.261000,200.318
25420,1074,846,15,0.0,57,12,1,0 days 01:38:29.919000,0 days 00:01:36.988000,200.882
25421,1074,849,16,0.0,57,20,1,0 days 01:38:35.379000,0 days 00:01:38.251000,198.3
25422,1074,807,17,0.0,57,19,1,0 days 01:38:37.413000,0 days 00:01:38.201000,198.401
25423,1074,815,18,0.0,56,4,32,,0 days 00:01:36.089000,202.762
25424,1074,830,19,0.0,54,2,32,,0 days 00:01:35.440000,204.14
25425,1074,842,20,0.0,44,17,131,,0 days 00:01:37.324000,200.189
25426,1075,830,1,25.0,50,2,1,0 days 01:24:19.293000,0 days 00:01:31.772000,242.191
25427,1075,844,2,19.0,50,1,1,0 days 01:24:19.842000,0 days 00:01:31.634000,242.556
25428,1075,832,3,15.0,50,3,1,0 days 01:24:27.390000,0 days 00:01:31.905000,241.841
25429,1075,815,4,12.0,50,4,1,0 days 01:24:30.093000,0 days 00:01:32.042000,241.481
25430,1075,847,5,10.0,50,7,1,0 days 01:24:52.025000,0 days 00:01:32.821000,239.454
25431,1075,839,6,8.0,50,9,1,0 days 01:25:15.310000,0 days 00:01:33.103000,238.729
25432,1075,846,7,6.0,50,5,1,0 days 01:25:15.417000,0 days 00:01:32.753000,239.629
25433,1075,842,8,4.0,50,10,1,0 days 01:25:22.239000,0 days 00:01:33.468000,237.796
25434,1075,825,9,2.0,50,6,1,0 days 01:25:23.601000,0 days 00:01:32.779000,239.562
25435,1075,1,10,1.0,50,8,1,0 days 01:25:33.241000,0 days 00:01:32.997000,239.001
25436,1075,855,11,0.0,50,13,1,0 days 01:25:41.508000,0 days 00:01:33.924000,236.642
25437,1075,807,12,0.0,50,11,1,0 days 01:25:51.035000,0 days 00:01:33.651000,237.332
25438,1075,840,13,0.0,49,16,11,,0 days 00:01:34.446000,235.334
25439,1075,848,14,0.0,47,15,130,,0 days 00:01:34.368000,235.528
25440,1075,822,15,0.0,36,14,141,,0 days 00:01:33.979000,236.503
25441,1075,4,16,0.0,35,12,103,,0 days 00:01:33.831000,236.876
25442,1075,817,17,0.0,35,17,6,,0 days 00:01:34.487000,235.232
25443,1075,849,18,0.0,14,18,3,,0 days 00:01:37.530000,227.892
25444,1075,852,19,0.0,0,0,131,,0 days 00:01:28.217748947,210.58524607730575
25445,1075,854,20,0.0,0,0,54,,0 days 00:01:28.217748947,210.58524607730575
25446,1076,844,1,26.0,58,1,1,0 days 01:27:46.548000,0 days 00:01:20.260000,236.74
25447,1076,815,2,18.0,58,3,1,0 days 01:28:07.072000,0 days 00:01:21.094000,234.305
25448,1076,847,3,15.0,58,4,1,0 days 01:28:12.141000,0 days 00:01:21.495000,233.152
25449,1076,1,4,12.0,58,7,1,0 days 01:28:15.091000,0 days 00:01:21.886000,232.039
25450,1076,846,5,10.0,58,8,1,0 days 01:28:39.851000,0 days 00:01:22.248000,231.018
25451,1076,817,6,8.0,58,9,1,0 days 01:28:40.285000,0 days 00:01:22.451000,230.449
25452,1076,839,7,6.0,58,10,1,0 days 01:28:48.231000,0 days 00:01:22.469000,230.399
25453,1076,822,8,4.0,58,5,1,0 days 01:28:54.987000,0 days 00:01:21.651000,232.707
25454,1076,842,9,2.0,58,13,1,0 days 01:29:02.769000,0 days 00:01:22.731000,229.669
25455,1076,848,10,1.0,58,12,1,0 days 01:29:05.930000,0 days 00:01:22.589000,230.064
25456,1076,855,11,0.0,58,11,1,0 days 01:29:08.243000,0 days 00:01:22.541000,230.198
25457,1076,840,12,0.0,58,17,1,0 days 01:29:15.146000,0 days 00:01:23.592000,227.304
25458,1076,854,13,0.0,57,14,11,,0 days 00:01:23.006000,228.908
25459,1076,825,14,0.0,57,15,11,,0 days 00:01:23.071000,228.729
25460,1076,852,15,0.0,57,16,11,,0 days 00:01:23.342000,227.985
25461,1076,849,16,0.0,57,18,11,,0 days 00:01:23.882000,226.518
25462,1076,4,17,0.0,57,2,11,,0 days 00:01:20.846000,235.024
25463,1076,830,18,0.0,38,6,95,,0 days 00:01:21.677000,232.633
25464,1076,20,19,0.0,22,19,3,,0 days 00:01:25.189000,223.042
25465,1076,832,20,0.0,1,0,20,,0 days 00:01:28.217748947,210.58524607730575
25466,1077,830,1,26.0,63,1,1,0 days 01:32:07.986000,0 days 00:01:18.446000,225.281
25467,1077,815,2,18.0,63,3,1,0 days 01:32:24.513000,0 days 00:01:18.949000,223.845
25468,1077,846,3,15.0,63,7,1,0 days 01:32:42.820000,0 days 00:01:20.903000,218.439
25469,1077,847,4,12.0,63,8,1,0 days 01:32:50.492000,0 days 00:01:20.962000,218.28
25470,1077,822,5,10.0,63,6,1,0 days 01:32:51.167000,0 days 00:01:20.758000,218.831
25471,1077,844,6,8.0,63,2,1,0 days 01:33:04.058000,0 days 00:01:18.574000,224.914
25472,1077,852,7,6.0,63,5,1,0 days 01:33:09.096000,0 days 00:01:20.544000,219.412
25473,1077,20,8,4.0,63,9,1,0 days 01:33:18.878000,0 days 00:01:21.211000,217.61
25474,1077,825,9,2.0,63,10,1,0 days 01:33:23.246000,0 days 00:01:21.238000,217.538
25475,1077,840,10,1.0,62,16,11,,0 days 00:01:21.750000,216.176
25476,1077,848,11,0.0,62,17,11,,0 days 00:01:21.757000,216.157
25477,1077,842,12,0.0,62,15,11,,0 days 00:01:21.713000,216.274
25478,1077,1,13,0.0,62,13,11,,0 days 00:01:21.419000,217.054
25479,1077,839,14,0.0,62,18,11,,0 days 00:01:21.887000,215.814
25480,1077,855,15,0.0,62,11,11,,0 days 00:01:21.286000,217.41
25481,1077,849,16,0.0,62,12,11,,0 days 00:01:21.338000,217.271
25482,1077,854,17,0.0,62,4,11,,0 days 00:01:18.999000,223.704
25483,1077,817,18,0.0,62,14,11,,0 days 00:01:21.577000,216.634
25484,1077,4,19,0.0,6,19,130,,0 days 00:01:39.685000,177.282
25485,1077,832,20,0.0,0,0,4,,0 days 00:01:28.217748947,210.58524607730575
25486,1078,830,1,26.0,57,1,1,0 days 01:34:24.258000,0 days 00:01:31.361000,213.255
25487,1078,844,2,18.0,57,2,1,0 days 01:34:28.044000,0 days 00:01:31.488000,212.959
25488,1078,832,3,15.0,57,3,1,0 days 01:34:32.487000,0 days 00:01:31.790000,212.258
25489,1078,815,4,12.0,57,4,1,0 days 01:34:34.896000,0 days 00:01:31.819000,212.191
25490,1078,847,5,10.0,57,5,1,0 days 01:34:42.840000,0 days 00:01:32.195000,211.325
25491,1078,1,6,8.0,57,7,1,0 days 01:34:45.626000,0 days 00:01:32.941000,209.629
25492,1078,822,7,6.0,57,10,1,0 days 01:34:49.331000,0 days 00:01:33.184000,209.083
25493,1078,839,8,4.0,57,9,1,0 days 01:34:52.644000,0 days 00:01:33.163000,209.13
25494,1078,848,9,2.0,57,15,1,0 days 01:34:56.623000,0 days 00:01:33.447000,208.494
25495,1078,840,10,1.0,57,12,1,0 days 01:35:01.284000,0 days 00:01:33.312000,208.796
25496,1078,4,11,0.0,57,13,1,0 days 01:35:01.386000,0 days 00:01:33.331000,208.753
25497,1078,852,12,0.0,57,8,1,0 days 01:35:04.404000,0 days 00:01:33.035000,209.417
25498,1078,817,13,0.0,57,11,1,0 days 01:35:05.160000,0 days 00:01:33.265000,208.901
25499,1078,849,14,0.0,57,18,1,0 days 01:35:14.194000,0 days 00:01:34.169000,206.896
25500,1078,854,15,0.0,57,6,1,0 days 01:35:37.563000,0 days 00:01:32.528000,210.565
25501,1078,825,16,0.0,56,17,33,,0 days 00:01:33.511000,208.351
25502,1078,20,17,0.0,54,16,4,,0 days 00:01:33.479000,208.423
25503,1078,842,18,0.0,45,19,22,,0 days 00:01:34.487000,206.199
25504,1078,846,19,0.0,39,14,4,,0 days 00:01:33.411000,208.575
25505,1078,855,20,0.0,6,20,47,,0 days 00:01:35.731000,203.52
25506,1079,830,1,25.0,66,4,1,0 days 01:37:20.475000,0 days 00:01:25.456000,196.943
25507,1079,815,2,19.0,66,1,1,0 days 01:37:33.547000,0 days 00:01:24.108000,200.099
25508,1079,847,3,15.0,66,3,1,0 days 01:37:53.402000,0 days 00:01:24.636000,198.851
25509,1079,832,4,12.0,66,7,1,0 days 01:38:05.683000,0 days 00:01:25.985000,195.731
25510,1079,1,5,10.0,66,2,1,0 days 01:38:15.009000,0 days 00:01:24.253000,199.755
25511,1079,822,6,8.0,66,8,1,0 days 01:38:20.451000,0 days 00:01:26.395000,194.802
25512,1079,839,7,6.0,66,6,1,0 days 01:38:35.872000,0 days 00:01:25.935000,195.845
25513,1079,846,8,4.0,66,5,1,0 days 01:38:43.710000,0 days 00:01:25.619000,196.568
25514,1079,4,9,2.0,65,9,11,,0 days 00:01:26.599000,194.344
25515,1079,852,10,1.0,65,10,11,,0 days 00:01:26.828000,193.831
25516,1079,20,11,0.0,65,18,11,,0 days 00:01:27.629000,192.059
25517,1079,817,12,0.0,65,15,11,,0 days 00:01:27.285000,192.816
25518,1079,842,13,0.0,65,12,11,,0 days 00:01:26.987000,193.477
25519,1079,854,14,0.0,65,16,11,,0 days 00:01:27.447000,192.459
25520,1079,840,15,0.0,65,11,11,,0 days 00:01:26.876000,193.724
25521,1079,849,16,0.0,64,14,12,,0 days 00:01:27.246000,192.902
25522,1079,825,17,0.0,64,17,12,,0 days 00:01:27.537000,192.261
25523,1079,848,18,0.0,64,19,12,,0 days 00:01:28.281000,190.641
25524,1079,855,19,0.0,28,20,75,,0 days 00:01:28.415000,190.352
25525,1079,844,20,0.0,27,13,101,,0 days 00:01:27.030000,193.381
25526,1080,815,1,25.0,64,4,1,0 days 01:56:30.265000,0 days 00:01:16.028000,158.01
25527,1080,832,2,18.0,64,7,1,0 days 01:56:31.419000,0 days 00:01:16.421000,157.197
25528,1080,830,3,15.0,64,5,1,0 days 01:56:31.756000,0 days 00:01:16.052000,157.96
25529,1080,844,4,12.0,64,6,1,0 days 01:56:33.187000,0 days 00:01:16.249000,157.552
25530,1080,847,5,10.0,64,8,1,0 days 01:56:42.233000,0 days 00:01:16.830000,156.36
25531,1080,846,6,9.0,64,1,1,0 days 01:56:42.496000,0 days 00:01:14.693000,160.834
25532,1080,4,7,6.0,64,3,1,0 days 01:57:16.623000,0 days 00:01:15.882000,158.314
25533,1080,1,8,4.0,64,9,1,0 days 01:57:20.653000,0 days 00:01:17.203000,155.605
25534,1080,822,9,2.0,64,14,1,0 days 01:57:22.790000,0 days 00:01:17.600000,154.809
25535,1080,20,10,1.0,64,12,1,0 days 01:57:23.801000,0 days 00:01:17.558000,154.893
25536,1080,842,11,0.0,64,10,1,0 days 01:57:24.554000,0 days 00:01:17.344000,155.321
25537,1080,839,12,0.0,64,13,1,0 days 01:57:25.909000,0 days 00:01:17.571000,154.867
25538,1080,817,13,0.0,64,11,1,0 days 01:57:27.900000,0 days 00:01:17.532000,154.945
25539,1080,840,14,0.0,64,15,1,0 days 01:57:31.067000,0 days 00:01:17.672000,154.665
25540,1080,849,15,0.0,63,18,11,,0 days 00:01:18.579000,152.88
25541,1080,855,16,0.0,63,17,11,,0 days 00:01:18.200000,153.621
25542,1080,852,17,0.0,63,2,11,,0 days 00:01:15.334000,159.465
25543,1080,848,18,0.0,48,16,26,,0 days 00:01:18.023000,153.969
25544,1080,854,19,0.0,24,19,3,,0 days 00:01:24.778000,141.701
25545,1080,825,20,0.0,19,20,34,,0 days 00:01:33.754000,128.135
25546,1081,830,1,25.0,51,2,1,0 days 01:34:05.941000,0 days 00:01:46.050000,203.779
25547,1081,815,2,19.0,51,1,1,0 days 01:34:26.764000,0 days 00:01:46.046000,203.787
25548,1081,847,3,15.0,51,4,1,0 days 01:34:51.936000,0 days 00:01:47.177000,201.636
25549,1081,1,4,12.0,51,3,1,0 days 01:35:17.620000,0 days 00:01:47.044000,201.887
25550,1081,842,5,10.0,51,16,1,0 days 01:35:23.240000,0 days 00:01:48.519000,199.143
25551,1081,20,6,8.0,51,12,1,0 days 01:35:30.040000,0 days 00:01:48.206000,199.719
25552,1081,4,7,6.0,51,8,1,0 days 01:35:34.537000,0 days 00:01:47.989000,200.12
25553,1081,817,8,4.0,51,13,1,0 days 01:35:38.148000,0 days 00:01:48.276000,199.589
25554,1081,846,9,2.0,51,9,1,0 days 01:35:38.497000,0 days 00:01:47.997000,200.105
25555,1081,839,10,1.0,51,14,1,0 days 01:35:54.125000,0 days 00:01:48.297000,199.551
25556,1081,822,11,0.0,50,11,11,,0 days 00:01:48.179000,199.768
25557,1081,848,12,0.0,50,7,11,,0 days 00:01:47.966000,200.163
25558,1081,852,13,0.0,50,5,11,,0 days 00:01:47.523000,200.987
25559,1081,854,14,0.0,50,15,11,,0 days 00:01:48.410000,199.343
25560,1081,849,15,0.0,50,20,11,,0 days 00:01:49.583000,197.209
25561,1081,840,16,0.0,46,10,76,,0 days 00:01:48.038000,200.029
25562,1081,825,17,0.0,31,18,131,,0 days 00:01:48.789000,198.648
25563,1081,855,18,0.0,23,17,9,,0 days 00:01:48.723000,198.769
25564,1081,844,19,0.0,21,6,131,,0 days 00:01:47.531000,200.972
25565,1081,832,20,0.0,8,19,9,,0 days 00:01:48.978000,198.304
25566,1082,830,1,25.0,70,2,1,0 days 01:36:21.757000,0 days 00:01:15.839000,207.012
25567,1082,832,2,19.0,70,1,1,0 days 01:36:22.750000,0 days 00:01:15.749000,207.258
25568,1082,1,3,15.0,70,4,1,0 days 01:36:28.763000,0 days 00:01:16.167000,206.12
25569,1082,847,4,12.0,70,5,1,0 days 01:36:34.070000,0 days 00:01:16.418000,205.443
25570,1082,844,5,10.0,70,3,1,0 days 01:36:36.925000,0 days 00:01:15.901000,206.843
25571,1082,839,6,8.0,70,9,1,0 days 01:36:45.647000,0 days 00:01:17.110000,203.6
25572,1082,822,7,6.0,70,8,1,0 days 01:36:47.004000,0 days 00:01:17.010000,203.864
25573,1082,855,8,4.0,70,7,1,0 days 01:36:48.709000,0 days 00:01:16.927000,204.084
25574,1082,4,9,2.0,70,6,1,0 days 01:36:51.702000,0 days 00:01:16.578000,205.014
25575,1082,840,10,1.0,70,10,1,0 days 01:36:59.979000,0 days 00:01:17.421000,202.782
25576,1082,817,11,0.0,70,13,1,0 days 01:37:04.804000,0 days 00:01:17.932000,201.452
25577,1082,20,12,0.0,70,15,1,0 days 01:37:06.002000,0 days 00:01:17.956000,201.39
25578,1082,848,13,0.0,70,14,1,0 days 01:37:06.650000,0 days 00:01:17.951000,201.403
25579,1082,842,14,0.0,70,12,1,0 days 01:37:06.940000,0 days 00:01:17.810000,201.768
25580,1082,846,15,0.0,70,11,1,0 days 01:37:13.902000,0 days 00:01:17.495000,202.588
25581,1082,849,16,0.0,70,18,1,0 days 01:37:21.735000,0 days 00:01:18.540000,199.893
25582,1082,825,17,0.0,70,16,1,0 days 01:37:29.937000,0 days 00:01:18.046000,201.158
25583,1082,852,18,0.0,47,17,3,,0 days 00:01:18.309000,200.482
25584,1082,854,19,0.0,18,20,5,,0 days 00:01:18.967000,198.812
25585,1082,815,20,0.0,7,19,6,,0 days 00:01:18.844000,199.122
25586,1083,832,1,25.0,52,2,1,0 days 02:17:50.311000,0 days 00:01:30.813000,233.53
25587,1083,815,2,18.0,52,3,1,0 days 02:17:54.090000,0 days 00:01:30.937000,233.212
25588,1083,1,3,16.0,52,1,1,0 days 02:17:56.536000,0 days 00:01:30.510000,234.312
25589,1083,844,4,12.0,52,4,1,0 days 02:17:58.857000,0 days 00:01:31.282000,232.33
